Hour ,gallons
0,0
1,9
2,0
3,0
4,0
5,1
6,3.5
7,3.5
8,3.5
9,3
10,2.75
11,2.25
12,2
13,1.75
14,1.5
15,1.75
16,2
17,2.5
18,3
19,3
20,2.75
21,2.25
22,1.5
23,1
